example_id                                                    | status  | run_time        |
./spec/controllers/projects_controller_spec.rb[1:6:3]         | passed  | 0.02978 seconds |
./spec/controllers/projects_controller_spec.rb[1:6:4:1]       | passed  | 0.0506 seconds  |
./spec/controllers/projects_controller_spec.rb[1:6:5:1]       | passed  | 0.02499 seconds |
./spec/controllers/projects_controller_spec.rb[1:7:1]         | passed  | 0.02234 seconds |
./spec/controllers/projects_controller_spec.rb[1:7:2]         | passed  | 0.02001 seconds |
./spec/controllers/tasks_controller_spec.rb[1:1:1]            | passed  | 0.03036 seconds |
./spec/controllers/tasks_controller_spec.rb[1:1:2]            | passed  | 0.02502 seconds |
./spec/controllers/tasks_controller_spec.rb[1:2:1]            | passed  | 0.01754 seconds |
./spec/controllers/tasks_controller_spec.rb[1:3:1]            | passed  | 0.02725 seconds |
./spec/controllers/tasks_controller_spec.rb[1:3:2]            | passed  | 0.02421 seconds |
./spec/controllers/tasks_controller_spec.rb[1:4:1:1]          | passed  | 0.02898 seconds |
./spec/controllers/tasks_controller_spec.rb[1:4:2:1]          | passed  | 0.02628 seconds |
./spec/controllers/tasks_controller_spec.rb[1:5:1:1]          | passed  | 0.03409 seconds |
./spec/controllers/tasks_controller_spec.rb[1:5:2:1]          | passed  | 0.02665 seconds |
./spec/controllers/tasks_controller_spec.rb[1:6:1]            | passed  | 0.02971 seconds |
./spec/controllers/time_units_controller_spec.rb[1:1:1]       | passed  | 0.03111 seconds |
./spec/controllers/time_units_controller_spec.rb[1:1:2]       | passed  | 0.03958 seconds |
./spec/controllers/time_units_controller_spec.rb[1:1:3:1]     | passed  | 0.03484 seconds |
./spec/controllers/time_units_controller_spec.rb[1:2:1]       | passed  | 0.03335 seconds |
./spec/controllers/time_units_controller_spec.rb[1:3:1]       | passed  | 0.03119 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]            | passed  | 0.01523 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]            | passed  | 0.0519 seconds  |
./spec/helpers/application_helper_spec.rb[1:1:1]              | passed  | 0.00128 seconds |
./spec/helpers/application_helper_spec.rb[1:1:2]              | passed  | 0.00166 seconds |
./spec/helpers/application_helper_spec.rb[1:2:1]              | passed  | 0.00176 seconds |
./spec/helpers/application_helper_spec.rb[1:3:1]              | passed  | 0.0013 seconds  |
./spec/helpers/application_helper_spec.rb[1:4:1]              | passed  | 0.00133 seconds |
./spec/helpers/application_helper_spec.rb[1:5:1]              | passed  | 0.00148 seconds |
./spec/models/comment_spec.rb[1:1:1]                          | passed  | 0.00212 seconds |
./spec/models/comment_spec.rb[1:1:2]                          | passed  | 0.00212 seconds |
./spec/models/comment_spec.rb[1:1:3]                          | passed  | 0.00212 seconds |
./spec/models/comment_spec.rb[1:2:1]                          | passed  | 0.00168 seconds |
./spec/models/comment_spec.rb[1:2:2]                          | passed  | 0.01598 seconds |
./spec/models/image_uploader_spec.rb[1:1:1]                   | passed  | 0.25671 seconds |
./spec/models/task_spec.rb[1:1:1]                             | passed  | 0.00316 seconds |
./spec/models/task_spec.rb[1:1:2]                             | passed  | 0.00269 seconds |
./spec/models/task_spec.rb[1:2:1]                             | passed  | 0.01098 seconds |
./spec/models/task_spec.rb[1:3:1]                             | passed  | 0.04607 seconds |
./spec/models/task_spec.rb[1:3:2]                             | passed  | 0.03321 seconds |
./spec/models/time_unit_spec.rb[1:1]                          | pending | 0.00004 seconds |
./spec/models/user_spec.rb[1:1:1]                             | passed  | 0.00903 seconds |
./spec/system/login_spec.rb[1:1]                              | passed  | 0.02044 seconds |
./spec/system/login_spec.rb[1:2]                              | passed  | 0.02254 seconds |
./spec/system/login_spec.rb[1:3:1]                            | passed  | 0.01614 seconds |
./spec/system/login_spec.rb[1:3:2]                            | passed  | 0.02567 seconds |
./spec/system/markdown_writer_spec.rb[1:1:1]                  | passed  | 0.37306 seconds |
./spec/system/markdown_writer_spec.rb[1:1:2]                  | passed  | 0.35651 seconds |
./spec/system/markdown_writer_spec.rb[1:1:3]                  | passed  | 0.71796 seconds |
./spec/system/register_spec.rb[1:1:1]                         | passed  | 0.02882 seconds |
./spec/system/register_spec.rb[1:1:2]                         | passed  | 0.01132 seconds |
./spec/system/register_spec.rb[1:2:1:1]                       | passed  | 1.4 seconds     |
./spec/system/register_spec.rb[1:2:2:1]                       | passed  | 0.0454 seconds  |
